Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,花東,20 - 40,,1 - 3,2015-12-06,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,宜蘭,25 - 45,,1 - 3,2015-12-06,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,高屏,60 - 80,臭氧,3 - 6,2015-12-06,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,雲嘉南,60 - 80,懸浮微粒,2 - 4,2015-12-06,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,中部,50 - 70,懸浮微粒,2 - 4,2015-12-06,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,竹苗,30 - 50,懸浮微粒,1 - 3,2015-12-06,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,北部,30 - 50,懸浮微粒,1 - 3,2015-12-06,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,花東,25 - 45,,1 - 3,2015-12-05,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,宜蘭,30 - 50,,1 - 3,2015-12-05,2015-12-04 12:00
1.4日全臺各地及外島地區PSI為良好至普通等級。指標污染物為懸浮微粒。2.4日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.5日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。6日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；全臺各地PM2.5為低至中等級。,高屏,70 - 90,臭氧,4 - 7,2015-12-05,2015-12-04 12:00
