停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
土城、泰山、五股部分地區停水,8月9日-10日,8月10日24時,29968961,2015/8/10~2015/8/11,248新北市五股區     243新北市泰山區     236新北市土城區     
基隆市中山區復興路、德安路、文化路、協和街、新西街、定國街、西定路、中和路全部(含各巷弄)。,104年8月18日上午9 時,104年8月18日下午5 時,(02)24245200基隆所,2015/8/11~2015/8/18,203基隆市中山區     
基隆市安一路全部(含各巷弄)、崇德路15巷、樂一路、基金一路1-46號。,104年8月19日 上午 9時,104年8月19日 下午 5時,(02)24245200基隆所,2015/8/12~2015/8/19,204基隆市安樂區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【停水區域一】桃園市中壢區新興里(全) 志航街 黃興街 自忠街~二街 逢甲一~三街 天祥一~三街 少康一~三街 執信一~二街 林森路10巷16巷等 以上含所有巷道(施工沿線時停水),2015/05/01 8:0至2015/08/31 18:0,2015/08/31 18:0以後,03-4259492,2015/5/19~2015/9/1,320桃園市中壢區     
【停水區域一】彰化縣伸港鄉伸港鄉全部;彰化縣和美鎮和美鎮全部;彰化縣彰化市彰化市全部;彰化縣線西鄉線西鄉全部,2015/06/12 18:0至2015/08/31 23:59,2015/08/31 23:59以後,04-7353883,2015/6/12~2015/9/1,509彰化縣伸港鄉     508彰化縣和美鎮     500彰化縣彰化市     507彰化縣線西鄉     
