停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
1.新竹市香山區（中埔里、虎林里、牛埔里、虎山里、埔前里、頂埔里、頂福里）。<BR>2.新竹縣竹北市(大眉、大義、尚義、崇義里除外)之全部地區、新埔鎮(上寮里、下寮里、田新里、文山里、旱坑里)。<BR>3.新竹縣：湖口鄉：湖南村、勝利村、鳳山村、中興村、鳳凰村、波羅村。<BR>新豐鄉：員山村、松林村、上坑村、山崎村、忠孝村、崎頂村、中崙村、松柏村。<BR>,104年12月2日上午8時起,104年12月3日下午8時止,停、復水查詢電話:1910免費客服專線、新竹服務所03-5712141、新竹地區辦公室電話：03-5733523、5714652手機陳廠長0919-361905，竺股長0928-578810，鍾股長0932-375779、竹北、新埔地區辦公室電話：03-5552501、5516814、手機李主任0952-349765，紀股長0939-294802，羅股長0928-634783、新豐、湖口地區辦公室電話：03-5981603、5983082、手機陳主任0933-261427，沈股長0918-951872，謝股長0933-372207,2015/11/27~2015/12/4,304新竹縣新豐鄉     303新竹縣湖口鄉     302新竹縣竹北市     300新竹市新竹市     305新竹縣新埔鄉     
宜蘭市延平路、東港路、黎明三路一段等路段,104年12月3日(星期四)0時00分至04時00分,104年12月3日(星期四)04時00分,039233017轉分機11,2015/12/1~2015/12/3,260宜蘭縣宜蘭巿     
【停水區域一】彰化縣伸港鄉無;彰化縣和美鎮無;彰化縣彰化市無;彰化縣線西鄉無,2015/09/01 18:0至2015/12/31 23:59,2015/12/31 23:59以後,04-7353883,2015/9/2~2016/1/1,509彰化縣伸港鄉     508彰化縣和美鎮     500彰化縣彰化市     507彰化縣線西鄉     
【區域1】台中市太平區太平路/太平六街/太平八街/中平九街/太平十街/永成北路/太平十二街/太平路286巷/及附近巷弄內。,2015/10/01 9:0至2015/12/31 18:30【每日上午9點至下午6點半(非整日停水，僅幹管改接及用戶施作需停水)】,2015/12/31 18:30以後,1910;04-22442469;04-24821831,2015/9/17~2016/1/1,411台中市太平區     
【停水區域一】台中市太平區東平路兩側(中興東路-東平橋)、中和街、成功東路、東村路、建興北路、中平路等一帶。(包含周遭巷道),2015/10/19 8:0至2015/12/31 17:30,2015/12/31 17:30以後,1910.22442469,2015/10/2~2016/1/1,411台中市太平區     
【停水區域一】台中市烏日區烏日里大同路、大同二街、大同三街、大同五街、大同六街、大同七街、大同八街、大同十街、民族街、民權街、民生街、永春東三路、光日路（建國路以北）。（以上分段施工）,2015/10/15 8:30至2015/12/31 18:0,2015/12/31 18:0以後,04-23381614,2015/10/14~2016/1/1,414台中市烏日區     
【停水區域一】南投縣草屯鎮中山里;中正里;玉峰里;和平里;明正里;石川里;炎峰里;御史里;敦和里;新庄里;復興里;北投里;新厝里;(大成街;中山街;中山街幸福巷;中正路;中正路大觀巷;中正路正芬巷;中興路;仁愛街;仁愛街育德巷;太平路一段;太平路二段;文化街;玉峰街;成功路一段;成功路一段冠華巷;自由街;育才巷;育英街;和平街;和興一街;和興二街;和興三街;和興街;忠孝街;信義街;明正巷;明賢街;明賢街一段;東美街;炎峰街;炎峰街青年巷;炎峰街館前巷;芬草路;芬草路一段;芬草路育新巷;青雲街;信義街;建國街;勝和街;博愛路;敦化街;敦和南路;敦和路;敦和路大明巷;敦和路仁和巷;敦和路民族巷;敦和路自立巷;敦和路敦成巷;敦和路新和巷;敦和路廟前巷;儒林街;平等街;復興路;立人路;碧山路;碧峰路;碧興路;草溪路;虎山路;建興一街;建興二街;建興四街;建興五街等處(均含巷弄)草屯地區部份水壓降低,2015/10/19 8:30至2015/12/01 17:30,2015/12/01 17:30以後,049-2563505,2015/11/9~2015/12/2,542南投縣草屯鎮     
,,,05-3792117,2015/11/16~2016/1/17,
【停水區域一】台中市大里區新仁里;台中市太平區太平里,2015/11/16 8:0至2015/12/31 17:30,2015/12/31 17:30以後,04-22442469,2015/11/16~2016/1/1,412台中市大里區     411台中市太平區     
【停水區域一】台中市霧峰區丁台路全部及豐正路102號至222號,2015/11/10 9:30至2015/12/12 18:0,2015/12/12 18:0以後,23393138,2015/11/18~2015/12/13,413台中市霧峰區     
【停水區域一】台中市大甲區臨江路(西濱公路至經國路)及其巷道,2015/11/18 8:0至2015/12/31 18:0,2015/12/31 18:0以後,04-26872777,2015/11/18~2016/1/1,437台中市大甲區     
【停水區域一】嘉義縣鹿草鄉全部村里,2015/12/01 8:0至2016/01/16 23:0,2016/01/16 23:0以後,05-3412045,2015/11/19~2016/1/17,611嘉義縣鹿草鄉     
【停水區域一】嘉義市西區磚嗂里玉山路186巷、180號、永福一街7號、永福三街3至15號、大統路152至230號及大華路81號等所有住戶。,2015/11/23 8:0至2015/12/04 18:0,2015/12/04 18:0以後,05-2252670轉252,2015/11/20~2015/12/5,600嘉義市西區       
【停水區域一】桃園市楊梅區裕成里,2015/12/04 7:0至2015/12/05 8:0,2015/12/05 8:0以後,036-4789261-307,2015/11/23~2015/12/6,326桃園市楊梅區     
【停水區域一】南投縣南投市軍功里;軍功路(含巷弄);下雨天不施工順延,2015/11/24 8:30至2015/12/20 18:0,2015/12/20 18:0以後,049-2563505,2015/11/24~2015/12/21,540南投縣南投市     
【停水區域一】彰化縣埤頭鄉光復路,2015/11/26 8:0至2015/12/07 18:0,2015/12/07 18:0以後,04-8882073     0912975533,2015/11/25~2015/12/8,523彰化縣埤頭鄉     
【停水區域一】桃園市楊梅區裕成里,2015/12/04 7:0至2015/12/04 23:59,2015/12/04 23:59以後,03-4789261-307,2015/11/25~2015/12/5,326桃園市楊梅區     
【停水區域一】台中市潭子區圓通南路(鐵路以東);復興路一段;復興路二段;大智街,2015/12/02 8:0至2015/12/18 18:0,2015/12/18 18:0以後,04-25722643豐原給水廠,2015/11/25~2015/12/19,427台中市潭子區     
【停水區域一】雲林縣莿桐鄉饒平村、興貴村、四合村、麻園村...等部分用戶；;麻園村榮貫路南側用戶(全家便利超商至麻園鐵支路區段),2015/11/27 8:0至2015/12/06 19:0,2015/12/06 19:0以後,05-5862163,2015/11/26~2015/12/7,647雲林縣莿桐鄉     
【停水區域一】嘉義縣水上鄉嘉義縣水上鄉大堀村三聚落(大堀尾、頂過溝及江竹子腳)等。,2015/12/01 8:0至2015/12/15 18:0,2015/12/15 18:0以後,工務課-孫嘉福0972521066，承商-新榮工程行-工地負責人：毛淑茹0937573811或0927309896,2015/11/26~2015/12/16,608嘉義縣水上鄉     
【停水區域一】嘉義縣中埔鄉金蘭村;裕民村;義仁村,2015/12/14 8:0至2016/03/15 18:0,2016/03/15 18:0以後,05-2611075,2015/11/27~2016/3/16,606嘉義縣中埔鄉     
,,,7883714,2015/11/27~2015/12/12,
【停水區域一】雲林縣台西鄉山寮村;富琦村;五港村;三和;山寮;瓦厝,2015/12/01 9:0至2015/12/01 18:0,2015/12/01 18:0以後,05-6982250,2015/11/27~2015/12/2,636雲林縣台西鄉     
【停水區域一】新北市土城區員福街、中華路2段89巷1弄、中華路2段99巷、中華2段105巷、順風路、及中華路2段本線(員福街至慶利街之間)、福仁街本線(中央路2段至水源街之間)與水源街本線(中華路2段至福仁街之間),2015/12/01 8:30至2015/12/15 18:0,2015/12/15 18:0以後,02-29968961-311,2015/11/27~2015/12/16,236新北市土城區     
【停水區域一】台南市永康區1. 二王路雙號側150~172號;2. 復華七街全部。;3. 復華八街全部。;4. 復華十街全部。;5. 國華街全部。,2015/11/30 8:0至2015/12/11 18:0,2015/12/11 18:0以後,1910   06-2325714,2015/11/27~2015/12/12,710台南市永康區     
【停水區域一】基隆市中山區復興路,2015/12/01 0:0至2015/12/01 6:0,2015/12/01 6:0以後,0224245200,2015/11/28~2015/12/2,203基隆市中山區     
【區域1】高雄市鳳山區鳳山區鳳東五街(鳳捷路~鳳東七街106巷),2015/11/30 10:0至2015/12/01 18:0【每日上午10點至下午6點】,2015/12/01 18:0以後,07-7883714,2015/11/28~2015/12/2,830高雄市鳳山區     
【區域2】高雄市鳳山區鳳山區鳳東七街(中山東路380巷~鳳東二街),2015/11/30 10:0至2015/12/01 18:0【每日上午10點至下午6點】,2015/12/01 18:0以後,07-7883714,2015/11/28~2015/12/2,830高雄市鳳山區     
【停水區域一】彰化縣溪湖鎮西寮里,2015/12/01 9:0至2015/12/14 18:0,2015/12/14 18:0以後,04-8851778,2015/11/30~2015/12/15,514彰化縣溪湖鎮     
【停水區域一】雲林縣元長鄉後湖村.山內村;雲林縣台西鄉和豐村;富琦村;五榔村;雲林縣東勢鄉東勢鄉全區;雲林縣褒忠鄉褒忠鄉全區,2015/11/30 9:0至2015/12/05 18:0,2015/12/05 18:0以後,05-6622545     0953-148346,2015/11/30~2015/12/6,655雲林縣元長鄉     636雲林縣台西鄉     635雲林縣東勢鄉     634雲林縣褒忠鄉     
【停水區域一】南投縣水里鄉民族路、玉山街、北埔街、東三街、五福路、博愛路、六合路、中山二街、中山路一段等路段(含巷弄)。;鉅工村;南光村;北埔村,2015/11/30 8:30至2016/04/29 18:0,2016/04/29 18:0以後,049-2762076#203,2015/11/30~2016/4/30,553南投縣水里鄉     
【停水區域一】嘉義市西區鐵路以西所有用戶。;嘉義市東區鐵路以東，由博東路以南，接圓福街以西接民權路(圓福街至啟明路)接啟明路以西、接彌陀路以西，八掌溪以北。;嘉義縣水上鄉民生村、三和村、內溪村、寬士村、柳鄉村、柳林村、柳新村、回歸村、下寮村、粗溪村、大堀村、水上村、水頭村、南和村、靖和村、龍德村等16村。,2015/12/01 8:0至2016/01/17 0:0,2016/01/17 0:0以後,05-2762286，05-2681580,2015/11/30~2016/1/18,600嘉義市西區       600嘉義市東區       608嘉義縣水上鄉     
【停水區域一】台南市官田區隆田里{全部無水};隆本里{全部無水};西庄里{全部無水};東庄里{全部無水};渡頭里;瓦窯{全部無水};拔子林{全部無水};台南市麻豆區全部村里{水壓降低},2015/12/03 9:0至2015/12/04 8:0,2015/12/04 8:0以後,(06)5721166,2015/11/30~2015/12/5,720台南市官田區     721台南市麻豆區     
【區域1】台南市北區元寶里 國興里  北園街八巷與開元路485巷;開元路467號至555號,2015/12/01 8:0至2015/12/05 18:0【每日上午8點至下午6點】,2015/12/05 18:0以後,蔡先生     06-2370021#228   0981937221,2015/11/30~2015/12/6,704台南市北區       
【停水區域一】新竹市香山區新竹市香山區（中埔里、虎林里、牛埔里、虎山里、埔前里、頂埔里、頂福里）;新竹縣竹北市新竹縣竹北市(大眉、大義、尚義、崇義里除外)之全部地區;新竹縣湖口鄉湖口鄉：湖南村、勝利村、鳳山村、中興村、鳳凰村、波羅村;新竹縣新埔鎮新埔鎮(上寮里、下寮里、田新里、文山里、旱坑里);新竹縣新豐鄉新豐鄉：員山村、松林村、上坑村、山崎村、忠孝村、崎頂村、中崙村、松柏村,2015/12/02 8:0至2015/12/03 20:0,2015/12/03 20:0以後,新竹地區5712141-5733523-竹北地區5552501-5516814湖口地區5981603-5983082,2015/11/30~2015/12/4,300新竹市香山區     302新竹縣竹北市     303新竹縣湖口鄉     305新竹縣新埔鎮     304新竹縣新豐鄉     
【停水區域一】新北市樹林區柑園街1段、田尾街含周邊巷道,2015/11/30 23:0至2015/12/01 5:0,2015/12/01 5:0以後,02-26792224,2015/11/30~2015/12/2,238新北市樹林區     
【停水區域一】台南市南化區東和里;南化里;小崙;高雄市內門區三平里;內興里;木柵里;石坑里;東埔里,2015/12/02 13:0至2015/12/02 20:0,2015/12/02 20:0以後,065742323,2015/11/30~2015/12/3,716台南市南化區     845高雄市內門區     
【停水區域一】花蓮縣花蓮市林森路160號至194號之間{全部};和平路548號至663號之間{全部};明義街170號至170-1號之間{全部};,2015/12/01 9:0至2015/12/01 18:0,2015/12/01 18:0以後,8325304,2015/11/30~2015/12/2,970花蓮縣花蓮市     
【停水區域一】新北市土城區學成路99巷全部,2015/12/02 9:0至2015/12/03 17:0,2015/12/03 17:0以後,02-22655172,2015/11/30~2015/12/4,236新北市土城區     
【停水區域一】台南市新營區新營區民治路民權路口至民權路中正路口,2015/12/01 8:0至2015/12/01 17:0,2015/12/01 17:0以後,066322240,2015/11/30~2015/12/2,730台南市新營區     
【停水區域一】高雄市甲仙區光華路;高雄市杉林區通仙巷,2015/11/10 8:0至2016/05/20 21:0,2016/05/20 21:0以後,076613807,2015/11/30~2016/5/21,847高雄市甲仙區     846高雄市杉林區     
【停水區域一】嘉義縣東石鄉下揖村;頂揖村,2015/12/01 9:0至2015/12/01 18:0,2015/12/01 18:0以後,05-3414045,2015/11/30~2015/12/2,614嘉義縣東石鄉     
【停水區域一】雲林縣二崙鄉港後村,2015/12/02 8:0至2015/12/02 18:0,2015/12/02 18:0以後,05-5862163,2015/11/30~2015/12/3,649雲林縣二崙鄉     
【停水區域一】新北市三峽區安坑;成福路;竹崙路;竹安路;紫新路;紫微路;建安;溪東路;溪北街;橫溪路,2015/11/30 22:0至2015/12/01 5:0,2015/12/01 5:0以後,0226792224,2015/11/30~2015/12/2,237新北市三峽區     
【停水區域一】屏東縣高樹鄉廣福村;產業路,2015/12/01 8:40至2015/12/01 11:20,2015/12/01 11:20以後,087963973,2015/12/1~2015/12/2,906屏東縣高樹鄉     
【停水區域一】台南市玉井區中正路2-20全部},2015/12/01 8:30至2015/12/01 16:30,2015/12/01 16:30以後,06-5742323,2015/12/1~2015/12/2,714台南市玉井區     
【停水區域一】台南市學甲區八德街;四維街;公園街;公館路;自強路;自立街;建國路;華宗路;寶發路;中正路,2015/12/01 8:24至2015/12/01 14:0,2015/12/01 14:0以後,7222477,2015/12/1~2015/12/2,726台南市學甲區     
【停水區域一】高雄市鳳山區環河街、鳳東六街、鳳東路、興中街、環河東街、鳳捷路、文化路、中庄路、中山東路、中興路、鳳東一街~六街、中正路、立德路等附近地區,2015/12/01 9:0至2015/12/01 20:0,2015/12/01 20:0以後,7883714,2015/12/1~2015/12/2,830高雄市鳳山區     
【停水區域一】嘉義縣竹崎鄉紫雲村,2015/12/01 8:30至2015/12/01 13:0,2015/12/01 13:0以後,05-2611075,2015/12/1~2015/12/2,604嘉義縣竹崎鄉     
【停水區域一】桃園市龜山區桃園市龜山區中興里.龜山里.新路里.山頂里.山德里.山福里,2015/12/01 10:0至2015/12/01 17:0,2015/12/01 17:0以後,329-4999,2015/12/1~2015/12/2,333桃園市龜山區     
【停水區域一】彰化縣社頭鄉中山路.圳尾巷.員集路全部,2015/12/01 8:22至2015/12/01 14:0,2015/12/01 14:0以後,8793211.8793277,2015/12/1~2015/12/2,511彰化縣社頭鄉     
【停水區域一】苗栗縣通霄鎮城南里;梅南里,2015/12/01 8:30至2015/12/01 12:0,2015/12/01 12:0以後,037-986206,2015/12/1~2015/12/2,357苗栗縣通霄鎮     
【停水區域一】桃園市觀音區樹林里,2015/12/01 8:40至2015/12/01 16:0,2015/12/01 16:0以後,3862156,2015/12/1~2015/12/2,328桃園市觀音區     
