停水範圍,停水期間,恢復供水時間,查詢電話,發佈期間,發佈區域
基隆地區：信義區/仁義里、仁壽里、	孝忠里、孝岡里、孝深里、孝德里、孝賢里、東光里、東安里、東明里、東信里、信綠里、智誠里、智慧里、義民里、義和里、義幸里、義昭里、禮東里、禮儀里。<BR>中正區/八斗里、和寮里、入船里、中正里、中砂里、中船里、平寮里、正砂里、正船里、正義里、正濱里、社寮里、長潭里、信義里、建國里、砂子里、砂灣里、真砂里、港通里、新富里、新豐里、義重里、碧砂里、德義里、和憲里、海濱里。<BR>瑞芳地區：濱海地區：鼻頭里、濂新里、濂洞里、南雅里、海濱里、瑞濱里、深澳里；九份地區：福住里、崇文里、基山里、頌德里、永慶里；金瓜石地區：新山里、銅山里、石山里、瓜山里。,104年7月22日10時,104年7月23日9時,(02)24245200基隆所;02-24972006瑞芳所,2015/7/14~2015/7/23,224新北市瑞芳區     202基隆市中正區     201基隆市信義區     
湖口鄉：新竹工業區東區全部、信勢村、孝勢村、中勢村、信義村、中正村、長嶺村、長安村、湖鏡村、波羅村、湖口村、湖南村、中興村、勝利村等地區停水<BR>水壓降低地區：新竹工業區西區、鳳凰村、鳳山村<BR>,104年07月25日上午8時起,104年07月25日下午17時止,1910、湖口營運所03-5981603,2015/7/16~2015/7/28,303新竹縣湖口鄉     
基隆市仁愛區仁一路、仁二路、愛四路、愛五路、愛六路、愛七路、延平街、愛九路、復興街、劉銘傳路(含各巷弄)。,104年7月23日上午9時,104年7月23日下午9時,(02)24245200基隆所,2015/7/20~2015/7/24,200基隆市仁愛區     
【區域1】彰化縣伸港鄉全部;彰化縣和美鎮全部;彰化縣彰化市全部;彰化縣線西鄉全部,2015/05/04 12:0至2015/07/31 23:0【每日上午0點至上午7點 及每日中午12點至下午6點 及每日晚間10點至晚間12點】,2015/07/31 23:0以後,04-7353883,2015/5/4~2015/8/1,509彰化縣伸港鄉     508彰化縣和美鎮     500彰化縣彰化市     507彰化縣線西鄉     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【區域1】新北市蘆洲區信義里 信義路280巷、292巷、302巷;鷺江里 信義路351巷、361巷,2015/05/05 9:0至2015/09/30 16:0【每日上午9點至下午4點】,2015/09/30 16:0以後,(02)22821817,2015/5/11~2015/10/1,247新北市蘆洲區     
【停水區域一】桃園市中壢區新興里(全) 志航街 黃興街 自忠街~二街 逢甲一~三街 天祥一~三街 少康一~三街 執信一~二街 林森路10巷16巷等 以上含所有巷道(施工沿線時停水),2015/05/01 8:0至2015/08/31 18:0,2015/08/31 18:0以後,03-4259492,2015/5/19~2015/9/1,320桃園市中壢區     
