Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,花東,25 - 45,,1 - 3,2015-12-01,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,宜蘭,30 - 50,,2 - 3,2015-12-01,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,高屏,75 - 95,懸浮微粒,5 - 7,2015-12-01,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,雲嘉南,65 - 85,懸浮微粒,5 - 7,2015-12-01,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,中部,50 - 70,懸浮微粒,4 - 7,2015-12-01,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,竹苗,25 - 45,,1 - 3,2015-12-01,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,北部,30 - 50,,1 - 3,2015-12-01,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,花東,25 - 45,,1 - 3,2015-11-30,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,宜蘭,30 - 50,,2 - 3,2015-11-30,2015-11-29 11:29
1.29日全臺各地及外島地區PSI為良好至普通等級，指標污染物為懸浮微粒。2.29日中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，環保署提醒敏感族群減少在戶外活動，其他地區為低至中等級。3.11月30至12月1日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區受擴散條件不佳影響，PM2.5指標為中至高等級，其他地區為低至中等級。,高屏,75 - 95,懸浮微粒,5 - 8,2015-11-30,2015-11-29 11:29
